name,type,address,latitude,longitude, GranadaHillsSaladBowlGardenClub,CommunityGarden,"16003 Rinaldi Street, Granada Hills, California, (34.27917819000004, -118.48080939099998)",34.2791713,-118.4804559
Wattles Farm,Community Garden,"1714 N Curson Avenue, Los Angeles, CA 9004, 34.10199104600008, -118.35501155199995)",34.1019922,-118.3550303
Messiah Organic Community Garden,Community Garden,"7300 West Manchester Avenue, Los Angeles, CA 9004, 33.959693077000054, -118.42254886999996)",33.9593934,-118.4231126
Vermont Square Community Garden,Community Garden,"4712 S Vermont Avenue, Los Angeles, CA 9003, 34.00009092600004, -118.29150677299998)",34.000099,-118.291154
Enrique Noguera Educational Garden,Community Garden,"6614 Fountain Avenue, Los Angeles, CA 9003, 34.09435534900007, -118.33371449399999)",34.0943714,-118.3337936
Epworth Community Garden,Community Garden,"1419 W 65th Street, Los Angeles, CA 9004, 33.98062804400007, -118.30074157399997)",33.9806263,-118.3009406
Eastwind Community Garden,Community Garden,"110 Eastwind Street, Marina Del Rey, CA 9029, 33.977245786000026, -118.46316565099994)",33.9772294,-118.4632544
Moothart Collingnon/Francis Avenue Community Garden,Community Garden,"2909 Francis Avenue, Los Angeles, CA 9000, 34.056847719000075, -118.28941998999994)",34.057077,-118.289425
The Learning Garden,Community Garden,"1300 Venice Blvd, Los Angeles, CA 9000, 34.04290510900006, -118.28222053399998)",34.0427696,-118.2822406
Rosecrans Farms,Community Garden,"561 W 146th Street, Gardena, CA 9024, 33.89964767200007, -118.28525910099995)",33.8997839,-118.2852654
John S. Gibson Senior Garden,Community Garden,"1500 S Harbor Blvd, San Pedro, CA 9073, 33.73094877400007, -118.279958637)",33.7302093,-118.2799679
Stanford Avalon Community garden,Community Garden,"658 E 111th Place, Los Angeles, CA 9005, 33.93417627300005, -118.26377086299999)",33.9341804,-118.2637926
Salesian Boys & Girls Club Community Garden,Community Garden,"2228 E 4th Street, Los Angeles, CA 9003, 34.04122508200004, -118.21322074599999)",34.0409894,-118.2135235
Tarzana Community Garden,Community Garden,"18702 Erwin Street, San Fernando Valley, CA 9133, 34.18384300200006, -118.54066927899999)",34.1836591,-118.5406491
Rancho San Pedro Community Garden,Community Garden,"275 W 1st Street, San Pedro, CA 9073, 33.74327698400003, -118.28301723599998)",33.7430661,-118.2830236
Eagle Rockdale Community Garden and Art Park,Community Garden,"1003 Rockdale Avenue, Los Angeles, CA 9004, 34.13392643900005, -118.18878835899994)",34.1345501,-118.1879229
Holy Nativity Community Garden,Community Garden,"6700 West 83rd Street, Westchester, CA 9004, 33.96343338400004, -118.40646992899997)",33.9631099,-118.4065372
Emerson Avenue Community Garden,Community Garden,"6550 W 80th Street, Westchester, CA 9004, 33.96923397100005, -118.40476339999998)",33.9677904,-118.4038765
