name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,active,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_close,daycode7,day7_open,day7_close,,,,
Albertsons,8985 Venice Blvd,,,CA,90034,(310) 202-6167,34.027983,-118.393903,,http://www.albertsons.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Albertsons,4155 Tweedy Blvd,,,CA,90280,(323) 569-1588,33.944174,-118.198635,,http://albertsons.com,,Mon,0,0,Tue,0,0,Wed,0,0,Thu,0,0,Fri,0,0,Sat,0,0,Sun,0,0,,,,
Albertsons,13401 Washington Blvd,,,CA,90292,(310) 574-0606,33.99355,-118.445627,,http://www.albertsons.com,,Mon,0,0,Tue,0,0,Wed,0,0,Thu,0,0,Fri,0,0,Sat,0,0,Sun,0,0,,,,
Albertsons,3180 N Garey Ave,,,CA,91767,(909) 392-1555,34.105878,-117.747508,,http://www.albertsons.com,,Mon,0,0,Tue,0,0,Wed,0,0,Thu,0,0,Fri,0,0,Sat,0,0,Sun,0,0,,,,
Food 4 Less,5420 W Sunset Blvd,,,CA,90027,(323) 871-8011,34.097044,-118.3079,,http://www.food4less.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Food 4 Less,6700 Cherry Ave,,,CA,90805,(562) 220-2373,33.876919,-118.167578,,http://www.food4less.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Food 4 Less,1821 N Hacienda Blvd,,,CA,91744,(626) 916-1120,34.052197,-117.944335,,http://www.food4less.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Food 4 Less,615 N Azusa Ave,,,CA,91791,(626) 967-5244,34.081604,-117.909375,,http://www.food4less.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Food 4 Less,44455 Valley Central Way,,,CA,93536,(661) 940-6373,34.690611,-118.173871,,http://www.food4less.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Pavilions,727 Vine St,,,CA,90038,(323) 461-4167,34.084538,-118.327205,,http://www.pavilions.com/,,Mon,0,0,Tue,0,0,Wed,0,0,Thu,0,0,Fri,0,0,Sat,0,0,Sun,0,0,,,,
Pavilions,8969 Santa Monica Blvd,,,CA,90069,(310) 595-1730,34.083598,-118.386939,,http://www.pavilions.com/,,Mon,0,0,Tue,0,0,Wed,0,0,Thu,0,0,Fri,0,0,Sat,0,0,Sun,0,0,,,,
Pavilions,9467 W Olympic Blvd,,,CA,90212,(310) 553-5734,34.059991,-118.399837,,http://www.pavilions.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Pavilions,4365 Glencoe Ave,,,CA,90292,(310) 821-7208,33.985095,-118.439826,,http://www.pavilions.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Pavilions,820 Montana Ave,,,CA,90403,(310) 395-1682,34.027903,-118.499936,,http://www.pavilions.com/,,Mon,0,130,Tue,0,130,Wed,0,130,Thu,0,130,Fri,0,130,Sat,0,130,Sun,0,130,,,,
Pavilions,5500 Woodruff Ave,,,CA,90713,(562) 866-3781,33.856882,-118.115427,,http://www.pavilions.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,670 S Western Ave,,,CA,90005,(213) 383-5058,34.060042,-118.308513,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,2600 S Vermont Ave,,,CA,90007,(323) 732-3863,34.031761,-118.290854,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,645 W 9th St,,,CA,90015,(213) 452-0840,34.045584,-118.260819,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,4760 W Pico Blvd,,,CA,90019,(323) 937-4107,34.047846,-118.339391,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,3410 W 3rd St,,,CA,90020,(213) 480-1421,34.068395,-118.29058,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,10861 Le Conte Ave,,,CA,90024,(310) 824-5994,34.06298,-118.443888,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,12057 Wilshire Blvd,,,CA,90025,(310) 477-8746,34.044967,-118.467009,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,5429 Hollywood Blvd,,,CA,90027,(323) 957-9657,34.102369,-118.308172,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,9616 W Pico Blvd,,,CA,90035,(310) 271-2672,34.0548,-118.397809,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,5601 Wilshire Blvd,,,CA,90036,(323) 936-4954,34.062987,-118.350948,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,260 S La Brea Ave,,,CA,90036,(323) 937-3264,34.070031,-118.343586,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,1233 N La Brea Ave,,,CA,90038,(323) 876-8790,34.093486,-118.344628,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,8701 Lincoln Blvd,,,CA,90045,(310) 649-1526,33.958161,-118.41847,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,5245 W Centinela Ave,,,CA,90045,(310) 641-2813,33.979088,-118.371597,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,8824 S Sepulveda Blvd,,,CA,90045,(310) 645-2035,33.956359,-118.397788,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,7257 W Sunset Blvd,,,CA,90046,(323) 512-8382,34.098725,-118.348432,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,9040 Beverly Blvd,,,CA,90048,(310) 278-1351,34.076629,-118.389114,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,11361 National Blvd,,,CA,90064,(310) 479-4351,34.026,-118.433433,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,11727 W Olympic Blvd,,,CA,90064,(310) 473-5238,34.034944,-118.449266,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,10772 Jefferson Blvd,,,CA,90230,(310) 839-4107,34.002266,-118.393504,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,3827 Culver Ctr,,,CA,90232,(310) 558-4027,34.017302,-118.407743,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,9200 Lakewood Blvd,,,CA,90240,(562) 869-2042,33.955504,-118.112176,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,8626 Firestone Blvd,,,CA,90241,(562) 869-2733,33.935993,-118.127089,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,500 N Sepulveda Blvd,,,CA,90245,(310) 615-0537,33.922035,-118.395618,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,2201 W Redondo Beach Blvd,,,CA,90247,(310) 538-9008,33.88698,-118.318433,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,1100 Pacific Coast Hwy,,,CA,90254,(310) 798-6800,33.863975,-118.391728,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,23841 Malibu Rd,,,CA,90265,(310) 456-2917,34.034164,-118.694759,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,2700 N Sepulveda Blvd,,,CA,90266,(310) 546-2472,33.896174,-118.394356,,http://www.ralphs.com/,,Mon,0,2359,Tue,0,2359,Wed,0,2359,Thu,0,2359,Fri,0,2359,Sat,0,2359,Sun,0,2359,,,,
Ralphs,15120 W Sunset Blvd,,,CA,90272,(310) 454-3001,34.045009,-118.524123,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,30019 Hawthorne Blvd,,,CA,90275,(310) 377-6941,33.760471,-118.394703,,http://www.ralphs.com/,,Mon,0,100,Tue,0,100,Wed,0,100,Thu,0,100,Fri,0,100,Sat,0,100,Sun,0,100,,,,
Ralphs,910 Lincoln Blvd,,,CA,90291,(310) 392-4854,33.999195,-118.461269,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
Ralphs,4700 Admiralty Way,,,CA,90292,(310) 823-4684,33.97981,-118.438946,,http://www.ralphs.com/,,Mon,0,200,Tue,0,200,Wed,0,200,Thu,0,200,Fri,0,200,Sat,0,200,Sun,0,200,,,,
